開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス,チェック
15:54:45,15:55:06,00分21秒,,0011,CNNNNNNNNN,CCNNNNNNNNNNNNN,CCCNNNNNNNNN,CCCCNNNNNNNNNNN,1
15:54:45,15:55:32,00分47秒,,0012,NNNNNNNNNN,NNNCCNNNNNNNNNN,NNNNNNNNNCCN,NNCCNNNNNNNNNNNNNNNNNNNN,0
15:54:45,15:55:55,01分10秒,,0013,NNNNCNNNNN,NNNNNNNNNCNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNCNNNNN,1
15:54:45,15:55:56,01分11秒,,0014,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNN,0
15:54:45,15:55:56,01分11秒,,0015,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN,0
