開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス,チェック
15:24:07,15:24:31,00分24秒,,0011,CNNNNNNNNN,CCNNNNNNNNNNNNN,CCCNNNNNNNNN,CCCCNNNNNNNNNNN,1
15:24:07,15:25:02,00分56秒,,0012,NNNNNNNNNN,NNNCCNNNNNNNNNN,NNNNNNNNNCCN,NNCCNNNNNNNNNNNNNNNNNNNN,0
15:24:07,15:25:33,01分26秒,,0013,NNNNCNNNNN,NNNNNNNNNCNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNCNNNNN,1
15:24:07,15:25:38,01分31秒,,0014,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNN,0
15:24:07,15:25:39,01分32秒,,0015,NNNNNNNNNN,NNNNNNNNNNNNNNN,NNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNN,0
